Date,GaugeHt,Temp,Treatment,Fish,FishID,Plugged,Cage,Upstream,Downstream,Nest,Mating
6/27/2019,1.41,23.1,Control,1/R,1,n,0,1,0,1,1
6/27/2019,1.41,23.1,Control,2/R,2,n,0,1,0,1,1
6/27/2019,1.41,23.1,Control,3/R,3,n,0,1,0,1,1
6/27/2019,1.41,23.1,Control,4/R,4,n,0,0,1,0,0
6/27/2019,1.41,23.1,Control,5/R,5,n,0,1,0,1,1
7/1/2019,1.39,21.9,Control,1/G,6,n,0,1,0,1,1
7/1/2019,1.39,21.9,Control,2/R,7,n,0,1,0,1,1
7/1/2019,1.39,21.9,Control,3/Y,8,n,0,1,0,0,0
7/1/2019,1.39,21.9,Control,4/W,9,n,0,1,0,1,1
7/5/2019,1.38,24.7,Control,2/G,10,n,0,1,0,1,1
7/5/2019,1.38,24.7,Control,3/W,11,n,0,1,0,1,1
7/5/2019,1.38,24.7,Control,4/glow,12,n,0,1,0,1,1
7/5/2019,1.38,24.7,Control,5/Y,13,n,0,1,0,0,0
7/9/2019,1.34,22.6,Control,1/G,14,n,0,1,0,1,0
7/9/2019,1.34,22.6,Control,2/glow,15,n,0,1,0,1,1
7/9/2019,1.34,22.6,Control,3/W,16,n,0,1,0,1,1
7/9/2019,1.34,22.6,Control,5/Y,17,n,0,1,0,1,0
7/16/2019,1.35,24.3,Control,1/Y,18,n,0,1,0,1,1
7/16/2019,1.35,24.3,Control,2/G,19,n,0,1,0,0,0
7/16/2019,1.35,24.3,Control,5/W,20,n,0,1,0,1,0
7/16/2019,1.35,24.3,Control,7/g,21,n,0,1,0,1,0
7/5/2019,1.38,24.7,Control,1/R,22,y,0,1,0,1,0
7/5/2019,1.38,24.7,Control,6/R,23,y,0,0,1,0,0
7/5/2019,1.38,24.7,Control,7/R,24,y,1,0,0,0,0
7/9/2019,1.34,22.6,Control,4/R,25,y,0,0,1,0,0
7/9/2019,1.34,22.6,Control,6/R,26,y,0,0,1,0,0
7/9/2019,1.34,22.6,Control,7/R,27,y,1,0,0,0,0
7/9/2019,1.34,22.6,Control,8/R,28,y,1,0,0,0,0
7/16/2019,1.35,24.3,Control,3/R,29,y,0,0,1,0,0
7/16/2019,1.35,24.3,Control,4/R,30,y,0,0,1,0,0
7/16/2019,1.35,24.3,Control,6/r,31,y,0,0,1,0,0
