Date,Treatment,us
183,tkControl,1
183,tkControl,1
183,tkControl,1
183,tkControl,1
183,tkControl,0
183,tkControl,0
183,tkControl,0
183.5,tkControl,1
183.5,tkControl,1
183.5,tkControl,1
183.5,tkControl,1
183.5,tkControl,1
183.5,tkControl,1
189,tkControl,1
189,tkControl,1
189,tkControl,1
189,tkControl,1
189,tkControl,1
189,tkControl,1
189,tkControl,1
189,tkControl,0
189,tkControl,0
189,tkControl,0
189.5,tkControl,1
189.5,tkControl,1
189.5,tkControl,1
189.5,tkControl,1
189.5,tkControl,0
189.5,tkControl,0
189.5,tkControl,0
189.5,tkControl,0
189.5,tkControl,0
189.5,tkControl,0
193,tkControl,1
193,tkControl,1
193,tkControl,1
193,tkControl,1
193,tkControl,1
193,tkControl,0
193,tkControl,0
193,tkControl,0
193,tkControl,0
193,tkControl,0
193.5,tkControl,1
193.5,tkControl,1
193.5,tkControl,1
193.5,tkControl,1
193.5,tkControl,1
193.5,tkControl,1
193.5,tkControl,1
193.5,tkControl,0
201,tkControl,1
201,tkControl,1
201,tkControl,1
201,tkControl,0
201,tkControl,0
201,tkControl,0
201,tkControl,0
201,tkControl,0
206,tkControl,1
206,tkControl,1
206,tkControl,1
206,tkControl,0
206,tkControl,0
206,tkControl,0
206,tkControl,0
206,tkControl,0
206,tkControl,0
206,tkControl,0
206.5,tkControl,1
206.5,tkControl,1
206.5,tkControl,1
206.5,tkControl,1
206.5,tkControl,1
206.5,tkControl,0
206.5,tkControl,0
206.5,tkControl,0
206.5,tkControl,0
209.5,tkControl,1
209.5,tkControl,1
209.5,tkControl,1
209.5,tkControl,1
209.5,tkControl,1
209.5,tkControl,1
209.5,tkControl,1
209.5,tkControl,1
209.5,tkControl,0
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
213.5,tkControl,1
214.5,tkControl,1
214.5,tkControl,1
214.5,tkControl,1
214.5,tkControl,1
214.5,tkControl,1
214.5,tkControl,1
214.5,tkControl,1
214.5,tkControl,0
214.5,tkControl,0
214.5,tkControl,0
214.5,tkControl,0
198,tkpzs,1
198,tkpzs,1
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198.5,tkpzs,1
198.5,tkpzs,0
198.5,tkpzs,0
198.5,tkpzs,0
198.5,tkpzs,0
198.5,tkpzs,0
198.5,tkpzs,0
198.5,tkpzs,0
198.5,tkpzs,0
198.5,tkpzs,0
200,tkpzs,1
200,tkpzs,1
200,tkpzs,1
200,tkpzs,0
200,tkpzs,0
200,tkpzs,0
200,tkpzs,0
200,tkpzs,0
200,tkpzs,0
200.5,tkpzs,1
200.5,tkpzs,1
200.5,tkpzs,1
200.5,tkpzs,1
200.5,tkpzs,1
200.5,tkpzs,1
200.5,tkpzs,0
200.5,tkpzs,0
200.5,tkpzs,0
200.5,tkpzs,0
200.5,tkpzs,0
201.5,tkpzs,1
201.5,tkpzs,1
201.5,tkpzs,0
201.5,tkpzs,0
201.5,tkpzs,0
201.5,tkpzs,0
201.5,tkpzs,0
201.5,tkpzs,0
202,tkpzs,1
202,tkpzs,1
202,tkpzs,1
202,tkpzs,1
202,tkpzs,1
202,tkpzs,1
202,tkpzs,1
202,tkpzs,0
202,tkpzs,0
202,tkpzs,0
202,tkpzs,0
203,tkpzs,1
203,tkpzs,1
203,tkpzs,1
203,tkpzs,1
203,tkpzs,0
203,tkpzs,0
203,tkpzs,0
203,tkpzs,0
203,tkpzs,0
203,tkpzs,0
203,tkpzs,0
203,tkpzs,0
205,tkpzs,1
205,tkpzs,1
205,tkpzs,0
205,tkpzs,0
205,tkpzs,0
205,tkpzs,0
205,tkpzs,0
205,tkpzs,0
205,tkpzs,0
205,tkpzs,0
205,tkpzs,0
205.5,tkpzs,1
205.5,tkpzs,1
205.5,tkpzs,1
205.5,tkpzs,0
205.5,tkpzs,0
205.5,tkpzs,0
205.5,tkpzs,0
205.5,tkpzs,0
205.5,tkpzs,0
205.5,tkpzs,0
209,tkpzs,1
209,tkpzs,1
209,tkpzs,1
209,tkpzs,1
209,tkpzs,1
209,tkpzs,0
209,tkpzs,0
209,tkpzs,0
209,tkpzs,0
209,tkpzs,0
209,tkpzs,0
209,tkpzs,0
209,tkpzs,0
210,tkpzs,1
210,tkpzs,1
210,tkpzs,1
210,tkpzs,0
210,tkpzs,0
210,tkpzs,0
210,tkpzs,0
210,tkpzs,0
210,tkpzs,0
210,tkpzs,0
210,tkpzs,0
210,tkpzs,0
210,tkpzs,0
211,tkpzs,1
211,tkpzs,1
211,tkpzs,1
211,tkpzs,1
211,tkpzs,0
211,tkpzs,0
211,tkpzs,0
211,tkpzs,0
211,tkpzs,0
211,tkpzs,0
211,tkpzs,0
211,tkpzs,0
